Day,Phase,Topic,Type,Status,Notes
97,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
98,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
99,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
100,React Practice + Mini Apps (Days 84-100),🚀 Project: Blog App / Dashboard,Project,Not Started,
101,Backend - Node + Express (Days 101-110),Node.js intro,Learn,Not Started,
102,Backend - Node + Express (Days 101-110),Modules + file system,Learn,Not Started,
103,Backend - Node + Express (Days 101-110),NPM + packages,Learn,Not Started,
104,Backend - Node + Express (Days 101-110),Express basics,Learn,Not Started,
105,Backend - Node + Express (Days 101-110),Routing,Learn,Not Started,
106,Backend - Node + Express (Days 101-110),Middleware,Learn,Not Started,
107,Backend - Node + Express (Days 101-110),REST APIs,Learn,Not Started,
108,Backend - Node + Express (Days 101-110),Postman testing,Learn,Not Started,
109,Backend - Node + Express (Days 101-110),Authentication (JWT),Learn,Not Started,
110,Backend - Node + Express (Days 101-110),Password hashing,Learn,Not Started,
111,Practice APIs (Days 111-130),Build APIs daily,Practice,Not Started,
112,Practice APIs (Days 111-130),Practice CRUD operations,Practice,Not Started,
113,Practice APIs (Days 111-130),User Auth API,Practice,Not Started,
114,Practice APIs (Days 111-130),Blog API,Practice,Not Started,
115,Practice APIs (Days 111-130),Task Manager API,Practice,Not Started,
116,Practice APIs (Days 111-130),Test using Postman,Practice,Not Started,
117,Practice APIs (Days 111-130),API practice,Practice,Not Started,
118,Practice APIs (Days 111-130),API practice,Practice,Not Started,
119,Practice APIs (Days 111-130),API practice,Practice,Not Started,
120,Practice APIs (Days 111-130),API practice,Practice,Not Started,
121,Practice APIs (Days 111-130),API practice,Practice,Not Started,
122,Practice APIs (Days 111-130),API practice,Practice,Not Started,
123,Practice APIs (Days 111-130),API practice,Practice,Not Started,
124,Practice APIs (Days 111-130),API practice,Practice,Not Started,
125,Practice APIs (Days 111-130),API practice,Practice,Not Started,
126,Practice APIs (Days 111-130),API practice,Practice,Not Started,
127,Practice APIs (Days 111-130),API practice,Practice,Not Started,
128,Practice APIs (Days 111-130),API practice,Practice,Not Started,
129,Practice APIs (Days 111-130),API practice,Practice,Not Started,
130,Practice APIs (Days 111-130),🚀 Project: REST API,Project,Not Started,
131,Database - MongoDB (Days 131-136),MongoDB intro,Learn,Not Started,
132,Database - MongoDB (Days 131-136),CRUD operations,Learn,Not Started,
133,Database - MongoDB (Days 131-136),Collections + documents,Learn,Not Started,
134,Database - MongoDB (Days 131-136),Mongoose,Learn,Not Started,
135,Database - MongoDB (Days 131-136),Schema design,Learn,Not Started,
136,Database - MongoDB (Days 131-136),Relationships,Learn,Not Started,
137,DB Integration (Days 137-150),Practice MongoDB queries,Practice,Not Started,
138,DB Integration (Days 137-150),Use Mongoose,Practice,Not Started,
139,DB Integration (Days 137-150),Perform CRUD with DB,Practice,Not Started,
140,DB Integration (Days 137-150),User database system,Practice,Not Started,
141,DB Integration (Days 137-150),Notes storage app,Practice,Not Started,
142,DB Integration (Days 137-150),DB integration practice,Practice,Not Started,
143,DB Integration (Days 137-150),DB integration practice,Practice,Not Started,
144,DB Integration (Days 137-150),DB integration practice,Practice,Not Started,
145,DB Integration (Days 137-150),DB integration practice,Practice,Not Started,
146,DB Integration (Days 137-150),DB integration practice,Practice,Not Started,
147,DB Integration (Days 137-150),DB integration practice,Practice,Not Started,
148,DB Integration (Days 137-150),DB integration practice,Practice,Not Started,
149,DB Integration (Days 137-150),DB integration practice,Practice,Not Started,
150,DB Integration (Days 137-150),🚀 Project: CRUD App,Project,Not Started,
151,Full Stack Integration (Days 151-155),Connect frontend + backend,Learn,Not Started,
152,Full Stack Integration (Days 151-155),API integration,Learn,Not Started,
153,Full Stack Integration (Days 151-155),Authentication flow,Learn,Not Started,
154,Full Stack Integration (Days 151-155),Protected routes,Learn,Not Started,
155,Full Stack Integration (Days 151-155),State management,Learn,Not Started,
156,Build Full App (Days 156-170),Combine frontend + backend,Practice,Not Started,
157,Build Full App (Days 156-170),Add authentication,Practice,Not Started,
158,Build Full App (Days 156-170),Create dashboard UI,Practice,Not Started,
159,Build Full App (Days 156-170),E-commerce app,Practice,Not Started,
160,Build Full App (Days 156-170),SaaS dashboard,Practice,Not Started,
161,Build Full App (Days 156-170),Social media app,Practice,Not Started,
162,Build Full App (Days 156-170),Full stack project work,Practice,Not Started,
163,Build Full App (Days 156-170),Full stack project work,Practice,Not Started,
164,Build Full App (Days 156-170),Full stack project work,Practice,Not Started,
165,Build Full App (Days 156-170),Full stack project work,Practice,Not Started,
166,Build Full App (Days 156-170),Full stack project work,Practice,Not Started,
167,Build Full App (Days 156-170),Full stack project work,Practice,Not Started,
168,Build Full App (Days 156-170),Full stack project work,Practice,Not Started,
169,Build Full App (Days 156-170),Full stack project work,Practice,Not Started,
170,Build Full App (Days 156-170),🚀 Project: MERN App,Project,Not Started,
171,Deployment + Final (Days 171-180),GitHub final setup,Learn,Not Started,
172,Deployment + Final (Days 171-180),Deployment (Frontend - Vercel),Learn,Not Started,
173,Deployment + Final (Days 171-180),Deployment (Backend - Render),Learn,Not Started,
174,Deployment + Final (Days 171-180),Environment variables,Learn,Not Started,
175,Deployment + Final (Days 171-180),Debugging,Learn,Not Started,
176,Deployment + Final (Days 171-180),Performance optimization,Learn,Not Started,
177,Deployment + Final (Days 171-180),SEO basics,Learn,Not Started,
178,Deployment + Final (Days 171-180),Portfolio building,Learn,Not Started,
179,Deployment + Final (Days 171-180),Final polishing,Practice,Not Started,
180,Deployment + Final (Days 171-180),🎉 FINAL PROJECT LIVE,Project,Not Started,
